,x,y,query
0,0.24316962789765856,-0.23605055314473067,Security best practices for Amazon S3 - Amazon Simple Storage ServiceSecurity best practices for Amazon S3 - Amazon Simple Storage ServiceDocumentationAmazon Simple Storage Service (S3)User
1,0.3879171034913056,-0.05689566951720645,GuideAmazon S3 security best
2,0.3969845421054436,-0.11878190775108076,practicesAmazon S3 monitoring and auditing best
3,0.4395218142417669,-0.11449472981237689,practicesMonitoring data securitySecurity best practices for Amazon S3Amazon S3 provides a number of security features to consider as you develop and implement your
4,0.20552181586456167,0.2592909524462437,"own security policies. The following best practices are general guidelines and don't
        represent a complete security solution. Because these best practices might not be"
5,0.20631684855061883,0.1564217801184987,"appropriate or sufficient for your environment, treat them as helpful recommendations rather
        than prescriptions. TopicsAmazon S3 security best"
6,-0.06703888964776551,0.13164260971088568,"practicesAmazon S3 monitoring and auditing best
                practicesMonitoring data security with managed AWS security services
Amazon S3 security best
                practices"
7,-0.30669205190053234,0.025153787399908683,The following best practices for Amazon S3 can help prevent security incidents.
8,0.04472777869701147,-0.06938111702744303,Disable access control lists (ACLs)
9,0.11290037961037477,-0.1769705164284905,"S3 Object Ownership is an Amazon S3 bucket-level setting that you can use to control ownership of objects uploaded to your bucket and to disable or enable ACLs. By default, Object Ownership is set to"
10,0.25470680094840026,0.21169851380710966,"the Bucket owner enforced setting and all ACLs are disabled. When ACLs are disabled, the bucket owner owns all the objects"
11,-0.26926890488487987,-0.08773158527649838,in the bucket and manages access to data exclusively using access management policies.
12,0.2561150620582998,-0.060289369079453085,A majority of modern use cases in Amazon S3 no longer require the use of access control lists (ACLs). We recommend
13,0.021740619523523897,0.340867799685862,"that you disable ACLs, except in unusual circumstances where you must
                        control access for each object individually. To disable ACLs and take"
14,0.18743999710031056,0.241646651108918,"ownership of every object in your bucket, apply the bucket owner enforced
                        setting for S3 Object Ownership. When you disable ACLs, you can easily"
15,0.2243402450219112,-0.07582575144634979,"maintain a bucket with objects uploaded by different AWS accounts. 
When ACLs are disabled access control for your data is based on policies,"
16,0.16838653184113986,-0.7494062233975275,such as the following:
17,-0.1293733884182729,0.051888000836782494,"AWS Identity and Access Management (IAM) user policies

S3 bucket policies

Virtual private cloud (VPC) endpoint policies

AWS Organizations service control policies (SCPs)"
18,0.1542180007252201,-0.14754015218465125,AWS Organizations resource control policies (RCPs)
19,0.11253388884360341,0.3587237824224076,"Disabling ACLs simplifies permissions management and auditing. ACLs are
                        disabled for new buckets by default. You can also disable ACLs for existing"
20,0.31811841720911244,-0.14653992496891613,"buckets. If you have an existing bucket that already has objects in it,
                        after you disable ACLs, the object and bucket ACLs are no longer part of the"
21,-0.4428136141831329,0.08345729273218543,"access-evaluation process. Instead, access is granted or denied on the basis
                        of policies."
22,-0.15949567469250706,-0.08482706500209522,"Before you disable ACLs, make sure that you do the following:"
23,0.29627339191867924,-0.02964042865138766,"Review your bucket policy to ensure that it covers all the ways
                                that you intend to grant access to your bucket outside of your"
24,-0.1750232850601622,-0.7140877200655502,account.
25,-0.2839059979803972,0.06933201989009485,"Reset your bucket ACL to the default (full control to the bucket
                                owner).


After you disable ACLs, the following behaviors occur:"
26,0.21756988362274374,0.1083772235654279,"Your bucket accepts only PUT requests that do not
                                specify an ACL or PUT requests with bucket owner full"
27,0.20166652691588224,0.18041071115152826,"control ACLs. These ACLs include the
                                    bucket-owner-full-control canned ACL or equivalent"
28,-0.345691136907685,-0.16190791029275042,forms of this ACL that are expressed in XML.
29,-0.42954458634721704,-0.01784439236597737,"Existing applications that support bucket owner full control ACLs
                                see no impact."
30,0.12302599041384549,0.15717005143456314,"PUT requests that contain other ACLs (for example,
                                custom grants to certain AWS accounts) fail and return an HTTP"
31,-0.5093311548504612,-0.06954843865186702,"status code 400 (Bad Request) with the error code
                                    AccessControlListNotSupported."
32,-0.5246141688094096,-0.0518116939372143,"For more information, see Controlling ownership of objects and disabling ACLs
			for your bucket."
33,-0.09879499625728229,0.4122432339118007,"Ensure that
                    your Amazon S3 buckets use the correct policies and are not publicly
                    accessible"
34,0.2523116158064947,-0.1291296714558281,"Unless you explicitly require anyone on the internet to be able to read or
                        write to your S3 bucket, make sure that your S3 bucket is not public. The"
35,-0.3273175914721264,0.2113547250075486,"following are some of the steps that you can take to block public
                        access:"
36,0.20757839197728817,0.21106780500085937,"Use S3 Block Public Access. With S3 Block Public Access, you can
                                easily set up centralized controls to limit public access to your"
37,0.2216299774109788,0.0831304326625768,Amazon S3 resources. These centralized controls are enforced regardless
38,-0.5205605918914309,-0.10346524618502792,"of how the resources are created. For more information, see Blocking public access to your Amazon S3
			storage."
39,-0.40643950046213967,0.15866811438424114,"Identify Amazon S3 bucket policies that allow a wildcard identity such
                                as ""Principal"": ""*"" (which effectively means ""anyone"")."
40,0.21953435801033036,-0.07537689288143945,"Also look for policies that allow a wildcard action ""*""
                                (which effectively allows the user to perform any action in the Amazon S3"
41,0.034348499553464036,-0.7952719009828499,bucket).
42,0.18789731669820695,-0.006650599830885961,"Similarly, look for Amazon S3 bucket access control lists (ACLs) that
                                provide read, write, or full-access to ""Everyone"" or ""Any"
43,-0.27220157266368233,-0.09363407251457584,"authenticated AWS user."""
44,0.0044834940995035506,-0.08803126790826687,"Use the ListBuckets API operation to scan all of your
                                Amazon S3 buckets. Then use GetBucketAcl,"
